Publication Year,Author,Title,Url,Date,Extra,Manual Tags
2024,"Ren, W.; Peng, J.; Li, S.; Zhang, R.; Rong, J.; Li, H.",A Neighborhood Reconstruction-Based Cyber Attack Detection Method for Smart Grid Security,,2024,0 citations (Semantic Scholar/DOI) [2025-11-26] 0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07],#done; Power grids; Smart grid; Cyber attacks; Cyber-attacks; Smart power grids; Attack detection; Efficiency and reliability; Neighbourhood; Detection methods; Subgraphs; Enhanced efficiency; Smart grids security; Traditional approachs; #cybersecurity
2024,"Rahman, M.M.; Akash, A.S.; Pirim, H.; Le, C.; Le, T.Q.; Yadav, O.P.",Enhancing Electrical Network Vulnerability Assessment with Machine Learning and Deep Learning Techniques,,2024,2 citations (Semantic Scholar/DOI) [2025-04-09] 2 citations (Crossref/DOI) [2025-04-07] 2 citations (Crossref) [2025-04-02],#done; #faults-reliability
2024,"Piloto, Luis; Liguori, Sofia; Madjiheurem, Sephora; Zgubic, Miha; Lovett, Sean; Tomlinson, Hamish; Elster, Sophie; Apps, Chris; Witherspoon, Sims",CANOS: A Fast and Scalable Neural AC-OPF Solver Robust To N-1 Perturbations,http://arxiv.org/abs/2403.17660,3/26/24,8 citations (Semantic Scholar/arXiv) [2025-04-09] 8 citations (Semantic Scholar/DOI) [2025-04-09] arXiv:2403.17660 [cs],#done; #optimization-control
2024,"Pierce, B.G.; Wieser, R.J.; Ciardi, T.G.; Yao, A.D.; French, R.H.; Bruckman, L.S.; Li, M.",Comparison of Empirical and Data Driven Digital Twins for a PV+Battery Fleet,,2024,0 citations (Semantic Scholar/DOI) [2025-04-09] 0 citations (Crossref/DOI) [2025-04-07],#done; Power grids; Graph neural networks; graph neural network; Data-driven model; Data driven; Photovoltaic power; Photovoltaics; digital twin; data-driven models; photovoltaic power modeling; Physics-based models; Fleet operations; Photovoltaic installation; Photovoltaic power modeling; Power modeling; #data-management
2024,"Phamh, Thuan; Li, Xingpeng",Constraints and Variables Reduction for Optimal Power Flow Using Hierarchical Graph Neural Networks with Virtual Node-Splitting,http://arxiv.org/abs/2411.06268,11/9/24,0 citations (Semantic Scholar/arXiv) [2025-04-09] 0 citations (Semantic Scholar/DOI) [2025-04-09] arXiv:2411.06268 [eess] version: 1,#done; #optimization-control
2024,"Pham, Thuan; Li, Xingpeng",Graph Neural Network-Accelerated Network-Reconfigured Optimal Power Flow,http://arxiv.org/abs/2410.17460,10/22/24,1 citations (Semantic Scholar/arXiv) [2025-04-09] 1 citations (Semantic Scholar/DOI) [2025-04-09] arXiv:2410.17460 [eess] version: 1,#done; #optimization-control
2024,"Pham, Thuan; Li, Xingpeng",N-1 Reduced Optimal Power Flow Using Augmented Hierarchical Graph Neural Network,http://arxiv.org/abs/2402.06226,2/9/24,"2 citations (Semantic Scholar/arXiv) [2025-04-09] 2 citations (Semantic Scholar/DOI) [2025-04-09] arXiv:2402.06226 [cs, eess]",#done; notion; #optimization-control
2021,"Pagnier, Laurent; Chertkov, Michael",Physics-Informed Graphical Neural Network for Parameter & State Estimations in Power Systems,http://arxiv.org/abs/2102.06349,2/11/21,48 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2102.06349 [physics],#done; notion; #grid-analysis
2024,"Owerko, Damian; Gama, Fernando; Ribeiro, Alejandro",Unsupervised Optimal Power Flow Using Graph Neural Networks,https://ieeexplore.ieee.org/stampPDF/getPDF.jsp?tp=&arnumber=10446827&ref=aHR0cHM6Ly9zY2hvbGFyLmdvb2dsZS5jb20v&tag=1,2024-04,13 citations (Semantic Scholar/DOI) [2025-04-09] 2 citations (Crossref/DOI) [2025-04-07] 2 citations (Crossref) [2025-04-02] ISSN: 2379-190X,#done; #optimization-control
2022,"Owerko, Damian; Gama, Fernando; Ribeiro, Alejandro",Unsupervised Optimal Power Flow Using Graph Neural Networks,http://arxiv.org/abs/2210.09277,10/17/22,13 citations (Semantic Scholar/arXiv) [2025-04-09] arXiv:2210.09277,#done; #optimization-control
