Title,Authors,Year,Citations,Categories
A Neighborhood Reconstruction-Based Cyber Attack Detection Method for Smart Grid Security,"Ren, W.; Peng, J.; Li, S.; Zhang, R.; Rong, J.; Li, H.",2024,0,General
Mining latent patterns with multi-scale decomposition for electricity demand and price forecasting using modified deep graph convolutional neural networks,"Rawal, K.; Ahmad, A.",2024,0,General
Enhancing Electrical Network Vulnerability Assessment with Machine Learning and Deep Learning Techniques,"Rahman, M.M.; Akash, A.S.; Pirim, H.; Le, C.; Le, T.Q.; Yadav, O.P.",2024,0,General
Personnel Factors-Based Safety Risk Assessment Method for Dispatching Automation Master Station System*,"Qian, Jianguo; Zhang, Jing; Hu, Zhenyu; Qian, Haifeng; Chu, Fei",2023,0,General
Spatio-Temporal Advanced Persistent Threat Detection and Correlation for Cyber-Physical Power Systems using Enhanced GC-LSTM,"Presekal, Alfan; Ştefanov, Alexandru; Semertzis, Ioannis; Palensky, Peter",2024,0,General
CANOS: A Fast and Scalable Neural AC-OPF Solver Robust To N-1 Perturbations,"Piloto, Luis; Liguori, Sofia; Madjiheurem, Sephora; Zgubic, Miha; Lovett, Sean; Tomlinson, Hamish; Elster, Sophie; Apps, Chris; Witherspoon, Sims",2024,0,General
Comparison of Empirical and Data Driven Digital Twins for a PV+Battery Fleet,"Pierce, B.G.; Wieser, R.J.; Ciardi, T.G.; Yao, A.D.; French, R.H.; Bruckman, L.S.; Li, M.",2024,0,General
Constraints and Variables Reduction for Optimal Power Flow Using Hierarchical Graph Neural Networks with Virtual Node-Splitting,"Phamh, Thuan; Li, Xingpeng",2024,0,General
Graph Neural Network-Accelerated Network-Reconfigured Optimal Power Flow,"Pham, Thuan; Li, Xingpeng",2024,0,General
N-1 Reduced Optimal Power Flow Using Augmented Hierarchical Graph Neural Network,"Pham, Thuan; Li, Xingpeng",2024,0,General
